ts_name,buy_time,buy_week,buy_point,sell_time,sell_week,sell_point,return,cycle,cycle_per,bull_bear
模塑科技,2023-07-28,星期五,5.96,2023-08-23,星期三,8.25,38.0,26.0,1.46,bull
五粮液,2023-10-30,星期一,135.33,2024-01-29,星期一,223.04,65.0,91.0,0.71,bull
高鸿股份,2023-10-09,星期一,4.49,2024-03-25,星期一,7.22,61.0,168.0,0.36,bull
洛阳钼业,2023-10-24,星期二,5.03,2024-04-17,星期三,7.94,58.0,176.0,0.33,bull
兴业银行,2023-10-30,星期一,14.12,2024-01-15,星期一,17.61,25.0,77.0,0.32,bull
奥马电器,2023-12-28,星期四,7.63,2024-07-12,星期五,11.97,57.0,197.0,0.29,bull
中信银行,2023-08-03,星期四,5.75,2024-05-07,星期二,9.96,73.0,278.0,0.26,bull
海航科技,2023-10-10,星期二,2.48,2024-02-16,星期五,3.22,30.0,129.0,0.23,bull
农业银行,2023-11-01,星期三,3.42,2024-05-07,星期二,4.74,39.0,188.0,0.21,bull
交通银行,2023-10-30,星期一,5.57,2024-05-06,星期一,7.69,38.0,189.0,0.2,bull
建设银行,2023-11-01,星期三,5.75,2024-05-07,星期二,7.91,38.0,188.0,0.2,bull
云铝股份,2023-07-28,星期五,14.12,2024-04-15,星期一,21.64,53.0,262.0,0.2,bull
养元饮品,2023-10-11,星期三,24.59,2024-05-14,星期二,34.43,40.0,216.0,0.19,bull
光大银行,2023-10-30,星期一,2.97,2024-05-07,星期二,3.98,34.0,190.0,0.18,bull
华夏银行,2023-10-27,星期五,5.48,2024-05-07,星期二,7.24,32.0,193.0,0.17,bull
中国银行,2023-07-27,星期四,3.78,2024-05-07,星期二,5.64,49.0,285.0,0.17,bull
中国建筑,2023-07-28,星期五,5.78,2024-05-07,星期二,8.56,48.0,284.0,0.17,bull
北京银行,2023-10-30,星期一,4.51,2024-05-07,星期二,5.65,25.0,190.0,0.13,bull
上海银行,2023-10-30,星期一,5.84,2024-05-07,星期二,6.98,20.0,190.0,0.11,bull
江苏银行,2023-08-17,星期四,6.97,2024-04-26,星期五,8.13,17.0,253.0,0.07,bull
永泰能源,2024-06-13,星期四,1.2,2023-08-22,星期二,1.7,42.0,39.0,1.08,bear
雅化集团,2024-07-22,星期一,6.97,2023-08-11,星期五,19.9,186.0,-11.0,-16.91,bear
江苏银行,2023-08-18,星期五,6.97,,,,,,,
江苏银行,2023-11-02,星期四,6.97,,,,,,,
江苏银行,2023-11-09,星期四,6.97,,,,,,,
华夏银行,2023-10-30,星期一,5.48,,,,,,,
交通银行,2023-11-01,星期三,5.57,,,,,,,
北京银行,2023-10-31,星期二,4.51,,,,,,,
永泰能源,,,,2023-08-23,星期三,1.7,,,,
永泰能源,,,,2023-09-07,星期四,1.7,,,,
光大银行,2023-10-31,星期二,2.97,,,,,,,
